#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.mito_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="human_pan.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="human_pan" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Pan_troglodytes_troglodytes" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@mito_trimmed" id="treeLikelihood.mito_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@mito_trimmed" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.mito_trimmed	Tree.height	Tree.treeLength	kappa	CalibratedYuleModel	birthRateY	logP(mrca(human_pan))	mrca.age(human_pan)	clockRate	mutationRate	gammaShape
34000	-39146.35371766736	-39117.781378168074	-28.572339499287686	-39117.781378168074	36.06675400967271	91.36504363812796	24.47039769180067	-13.530574957983927	0.08391784883289122	-0.3386833472937396	6.237583663841827	0.005986321624129938	1.0	0.10961538524709642
35000	-39148.00406686951	-39119.75180089543	-28.252265974078973	-39119.75180089543	30.554993399733192	77.12179005967174	25.391995254057253	-12.049867681537833	0.047823351818264165	-1.2315796778431927	5.290849689699544	0.007183722359574804	1.0	0.10579264507328617
36000	-39145.90525650627	-39116.67101319457	-29.234243311695106	-39116.67101319457	41.12118011006267	103.71364842733718	23.069731262949283	-13.069444075954184	0.046414689932277244	-1.6950340439542693	6.857100545825734	0.005490383370353438	1.0	0.10341907092451902
37000	-39145.86518705319	-39117.435619204385	-28.429567848801977	-39117.435619204385	37.51361806948741	95.29842030649448	22.743122287280382	-12.852652851405576	0.02747783462696599	-1.0989487404520206	6.660741018783946	0.005677315944316774	1.0	0.111881660745632
38000	-39145.41584258601	-39117.49830129757	-27.917541288435768	-39117.49830129757	34.009579334608674	84.9414705165147	24.13541941652121	-12.432860072722942	0.0361071831774992	-0.6867230674068556	5.519931403462938	0.006809702294975339	1.0	0.10885706217015398
39000	-39145.35478042865	-39116.611444645176	-28.74333578347355	-39116.611444645176	39.24552108613189	98.92122597418555	24.018267882224052	-13.227587380946453	0.06119601108992017	-0.8861089885532203	6.574594481312035	0.005848354219079968	1.0	0.10423352868465476
40000	-39144.558798136866	-39116.4373227343	-28.121475402567427	-39116.4373227343	37.068252682483504	93.89068924511278	21.89362404299895	-13.06401269903084	0.02242553434624904	-0.6379723625295107	6.453971920874399	0.005858281780517801	1.0	0.11141638243160354
41000	-39143.98625603836	-39116.94641511453	-27.03984092383454	-39116.94641511453	32.72439418168914	83.82205366835865	22.2071916750922	-12.269382350567302	0.0498377909705106	-0.23150100482187938	6.053430572601985	0.006399118424651879	1.0	0.1093950195542782
42000	-39144.051417230214	-39116.586860251424	-27.464556978790174	-39116.586860251424	34.69383376889834	87.92507075849258	21.551714351811906	-12.749412766978477	0.06669560253392966	-0.2946661113694768	6.185573110558547	0.006115179174625316	1.0	0.1062055088506623
43000	-39144.83087884455	-39115.923622370065	-28.90725647448375	-39115.923622370065	28.50216540614867	72.36137223675138	21.873340555726763	-12.011608518854656	0.07112937396732166	-2.2590199967068223	4.991727059754628	0.007380223564768317	1.0	0.1
44000	-39144.21823703034	-39115.84119102255	-28.377046007794245	-39115.84119102255	32.947392209117716	83.17990859847674	22.86862366863378	-13.24464771235986	0.09183793627021113	-0.46593815319026993	5.653483910513853	0.006820820116765413	1.0	0.1040624877745806
45000	-39143.82429968138	-39116.18923583532	-27.635063846056802	-39116.18923583532	33.731108273801034	84.75899834676396	22.978649025999065	-12.377394149278722	0.048293331381043116	-0.5919903754214029	5.572098713032623	0.006730827653601129	1.0	0.10520087634752043
46000	-39143.06779036267	-39115.112368983224	-27.955421379447277	-39115.112368983224	36.35293374530384	92.28126494268088	22.978649025999065	-12.68853603924875	0.054011402884162986	-0.7033676087203591	6.488659521587184	0.006076536730808748	1.0	0.10520087634752043
47000	-39145.596589285255	-39115.876693874074	-29.719895411181064	-39115.876693874074	37.55139368711102	94.7230931381207	22.978649025999065	-14.64636135980783	0.00967375447908909	-0.5056158682208594	6.374048469837889	0.0061033618768713644	1.0	0.10520087634752043
48000	-39146.60599658156	-39119.03792199934	-27.568074582218305	-39119.03792199934	32.53190533093701	83.83365671567273	22.445421608650506	-12.778727521137949	0.0770162902732564	-0.2369375734350543	5.9253467321869735	0.006348535566716888	1.0	0.10572426147693852
49000	-39146.93749036646	-39119.56852031594	-27.368970050518993	-39119.56852031594	35.04442883997096	88.26619499730184	22.341826699303674	-12.528172526660404	0.0499850779161607	-0.29462333117181105	5.814484530931941	0.006387170159852529	1.0	0.10429739525357656
50000	-39145.712790023186	-39117.38276291785	-28.330027105334928	-39117.38276291785	29.7558006952136	76.22462267489985	22.341826699303674	-12.872057276377905	0.09947021797784637	-0.7776381674699604	5.4747158793446955	0.007305168836994706	1.0	0.10429739525357656
