#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MC1R_protein_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:JTT" name="distribution">
#            <parameter id="gammaShape.s:JTT" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="Nyc-homo.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Nyc-homo" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Nycticebus_coucang" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@MC1R_protein_trimmed" id="treeLikelihood.MC1R_protein_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:JTT" shape="@gammaShape.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.MC1R_protein_trimmed	Tree.height	Tree.treeLength	mutationRate	gammaShape	CalibratedYuleModel	birthRateY	logP(mrca(Nyc-homo))	mrca.age(Nyc-homo)	clockRate
6000	-1754.2019984199537	-1731.2694130899954	-22.932585329958222	-1731.2694130899954	6.952886621092661	38.85580092216867	1.0	1.0039941725806376	-14.922887969495797	0.4001382296365978	-1.0062456812514724	6.624681650365506	0.013301945322253967
6200	-1746.3327101359182	-1725.7237831615573	-20.60892697436085	-1725.7237831615573	5.8660054926020075	32.47884740751855	1.0	1.0039941725806376	-13.131804547418911	0.4713755478741251	-0.3099182991044569	5.794906184320773	0.013301945322253967
6400	-1748.4957436918446	-1725.2719023785858	-23.223841313258895	-1725.2719023785858	6.323449480674008	35.35775377188982	1.0	1.0039941725806376	-16.682425732647562	0.1813732458953288	-0.3286444348566587	6.226774207320775	0.013301945322253967
6600	-1748.9652470544988	-1726.4192220358327	-22.546025018666075	-1726.4192220358327	6.576168555643251	35.54979122220921	1.0	1.0039941725806376	-15.899612836388707	0.22221977865587683	-0.23069345374763922	6.04950808571795	0.013301945322253967
6800	-1744.2850400946347	-1722.589961733409	-21.69507836122579	-1722.589961733409	6.522096407811632	33.9548497368564	1.0	1.0039941725806376	-14.488354052902057	0.3235566992521955	-0.4155724697001004	5.691956888524209	0.013301945322253967
7000	-1746.866223499437	-1723.3133222560782	-23.552901243358757	-1723.3133222560782	6.312238422038847	34.435096267206994	1.0	1.0039941725806376	-15.4728093460515	0.7705882822475649	-0.4215809476457787	5.687118556797426	0.015429979276261142
7200	-1747.4851466429197	-1725.7525753212985	-21.732571321621197	-1725.7525753212985	6.2683695888638	34.796403562634495	1.0	1.0039941725806376	-14.115081364378913	0.5899842810125895	-0.22595088512184083	6.008931194688099	0.012964836365023548
7400	-1743.9670256812758	-1721.7538150878577	-22.21321059341807	-1721.7538150878577	6.553762559289568	37.45760020375462	1.0	1.0039941725806376	-14.997040523801314	0.3289684400366472	-0.40844195423181806	6.3022007623973595	0.012964836365023548
7600	-1747.733404101764	-1725.3545943255535	-22.378809776210634	-1725.3545943255535	6.5309222029326435	37.44463883013969	1.0	1.0039941725806376	-15.193493636468151	0.3804827600734489	-0.23220294064565686	5.943380268452908	0.011563612864561304
7800	-1751.448739510698	-1727.5247268028495	-23.924012707848444	-1727.5247268028495	7.630106916453927	42.037952612966706	1.0	1.0039941725806376	-16.407725959828234	0.3804827600734489	-0.5631735489233797	6.41072021880999	0.011563612864561304
8000	-1746.0795242526212	-1722.2988533803853	-23.780670872235877	-1722.2988533803853	6.969579383424442	40.682642859507176	1.0	1.0039941725806376	-16.05984196236683	0.27005232444858024	-1.1103084492620643	6.665025223813855	0.011563612864561304
8200	-1749.2841003087149	-1727.5153372574998	-21.76876305121513	-1727.5153372574998	6.661913159332472	35.72404923284061	1.0	1.0039941725806376	-14.611476111126578	0.30571288831059623	-0.4228241960444418	6.31387325738243	0.011563612864561304
8400	-1746.6777314108162	-1724.3355319524392	-22.342199458377067	-1724.3355319524392	6.6741326468944475	36.923041844143185	1.0	1.0039941725806376	-14.605577064526985	0.5362517424494061	-0.44053373672702634	6.327675437042738	0.011563612864561304
8600	-1748.3659892261712	-1726.0442951548916	-22.321694071279605	-1726.0442951548916	6.7701544275582375	37.38220162427382	1.0	1.0039941725806376	-15.117326255081345	0.3004413619334802	-0.4872867379587333	6.361590504102366	0.011563612864561304
8800	-1743.209844954613	-1721.0011187048588	-22.208726249754204	-1721.0011187048588	6.360834418371454	36.40444947678844	1.0	1.0039941725806376	-14.413661650004425	0.5670098512293474	-0.4432279991570932	6.329724617303869	0.011563612864561304
9000	-1744.8360105557294	-1721.0919054579786	-23.744105097750808	-1721.0919054579786	6.959205726445767	40.24556237506094	1.0	1.0039941725806376	-15.893595115299874	0.2712517670521658	-1.2355610692513976	6.710552502144166	0.011563612864561304
9200	-1749.3493944506856	-1724.252356751641	-25.097037699044737	-1724.252356751641	7.7672801416643384	41.79928117978853	1.0	1.0039941725806376	-15.884349786807139	0.28788258281656953	-2.538276594362199	7.075287227143862	0.011563612864561304
9400	-1747.8926639825884	-1724.6898440740224	-23.20281990856586	-1724.6898440740224	6.65240443762913	38.16451787779605	1.0	1.0039941725806376	-15.753733060964063	0.4765533941631615	-0.2709638127155176	5.849712841415525	0.011563612864561304
9600	-1747.461077292739	-1724.3035270590176	-23.157550233721498	-1724.3035270590176	6.696950906177235	36.62130025816737	1.0	1.0039941725806376	-15.386751926729705	0.41969357979734834	-0.7196599756455428	5.5030751450164646	0.011563612864561304
9800	-1748.8465616501614	-1724.3508592810902	-24.495702369071402	-1724.3508592810902	7.436894019171038	42.41960376481174	1.0	1.0039941725806376	-16.232764547308957	0.2982602580967558	-1.5531377837429439	6.814661411599388	0.011563612864561304
10000	-1747.3835719549947	-1724.0900352385584	-23.29353671643639	-1724.0900352385584	6.538035528140712	39.80679441960946	1.0	1.0039941725806376	-15.444524226962688	0.4269863936434545	-0.7806568179701537	6.526718836441904	0.011563612864561304
