#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.RAG2_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:JTT" name="distribution">
#            <parameter id="gammaShape.s:JTT" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="oto-prop.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="oto-prop" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Otolemur_garnettii" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Propithecus_coquereli" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@RAG2_trimmed" id="treeLikelihood.RAG2_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:JTT" shape="@gammaShape.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.RAG2_trimmed	Tree.height	Tree.treeLength	mutationRate	gammaShape	CalibratedYuleModel	birthRateY	clockRate	logP(mrca(oto-prop))	mrca.age(oto-prop)
6000	-2407.5930677650917	-2370.5982910166585	-36.99477674843321	-2370.5982910166585	10.675375422788932	57.462165895632886	1.0	0.32379868037602416	-30.49940092102148	0.33011435245594967	0.004629581584592509	-0.36436823781137906	6.263226979208678
6200	-2408.3849170930584	-2371.3527046532563	-37.03221243980211	-2371.3527046532563	9.651252100563989	56.16804658307555	1.0	0.47488397704985624	-30.205715487148304	0.3069331100679344	0.004629581584592509	-0.617163714043054	6.442364307668649
6400	-2408.984273592869	-2369.3205419496426	-39.663731643226406	-2369.3205419496426	12.800426627377632	62.57880022726978	1.0	0.47488397704985624	-32.61797369948701	0.4711669679365215	0.003469960756509376	-0.40810636741197515	6.3019230156573425
6600	-2410.3420868294556	-2370.602883984495	-39.73920284496094	-2370.602883984495	13.912059539743694	65.7675761939297	1.0	0.30920138818931986	-33.39737383437084	0.3199380481565364	0.003075619047243113	-0.25670931723033874	6.124334155777106
6800	-2409.6724760699003	-2369.6496446749584	-40.02283139494214	-2369.6496446749584	14.479056813767032	65.05733106258128	1.0	0.4926759344307855	-33.404494850285325	0.350010060005433	0.003075619047243113	-0.2599675481602257	5.869278548976271
7000	-2409.276751300845	-2366.0353544617046	-43.24139683914	-2366.0353544617046	15.619551157431001	71.91987717990796	1.0	0.4926759344307855	-36.27064746863697	0.1947322045742416	0.003075619047243113	-1.1982859073790029	6.69731433182399
7200	-2406.917652547186	-2364.558469803212	-42.35918274397411	-2364.558469803212	14.943715482321533	70.8410612486213	1.0	0.4926759344307855	-36.05523050676762	0.20153703826569064	0.003075619047243113	-0.4971684447267805	6.368359262189817
7400	-2410.881239369939	-2370.420045129226	-40.46119424071342	-2370.420045129226	12.74990967038485	65.38302335582983	1.0	1.120807598169465	-33.01627002460551	0.3164271131642096	0.004339300980085683	-0.5592252418875971	6.408309863487811
7600	-2406.448964210451	-2367.4841396420275	-38.96482456842361	-2367.4841396420275	12.81508991023846	58.35413758112402	1.0	1.120807598169465	-31.885954712078217	0.2567880327914531	0.004339300980085683	-0.4018636347023644	6.2967088489223375
7800	-2402.241764911267	-2365.145759602777	-37.09600530848991	-2365.145759602777	11.004423784463345	52.37299809086752	1.0	0.917242548081727	-29.15235130008847	0.5214651798054327	0.0049546819926431515	-0.7622650177803305	5.4820841452824585
8000	-2407.502086206209	-2368.6757214035397	-38.82636480266925	-2368.6757214035397	12.199114043802032	58.83928493097619	1.0	0.917242548081727	-31.218421634958503	0.5214651798054327	0.0049546819926431515	-0.4265541770896323	6.31683025774451
8200	-2399.094075313008	-2362.9176115379046	-36.17646377510343	-2362.9176115379046	10.462590172277254	53.76045890276379	1.0	0.5353129410842987	-29.145942975566527	0.5214651798054327	0.004266727891726999	-0.23106141591321674	5.948667440797826
8400	-2404.661517476968	-2368.8943938107554	-35.76712366621288	-2368.8943938107554	8.872891451189377	52.169367014124084	1.0	0.39085217854966176	-28.621824223466	0.31726781373595	0.004266727891726999	-0.9869043701932432	6.616892623374812
8600	-2400.5778321613434	-2365.647493359137	-34.93033880220639	-2365.647493359137	9.131105160369762	50.89742004555337	1.0	0.39085217854966176	-28.398883885786468	0.35446763660331787	0.004266727891726999	-0.2622627215974884	5.864960433663387
8800	-2402.954165130603	-2365.875224076185	-37.078941054418	-2365.875224076185	10.196952410987635	57.8064664826776	1.0	0.39085217854966176	-30.31265608366664	0.35446763660331787	0.004266727891726999	-0.4970927759289258	6.368307903312024
9000	-2413.7263325061513	-2374.7336779343177	-38.9926545718336	-2374.7336779343177	10.25891005692629	57.48370439785509	1.0	0.39085217854966176	-31.383582175218663	0.35446763660331787	0.004266727891726999	-1.3398802017924973	5.253645912067278
9200	-2404.1637240776017	-2365.5121575535604	-38.6515665240411	-2365.5121575535604	11.631241733031692	57.13729964722883	1.0	0.39085217854966176	-31.1290682167746	0.3889180877366499	0.004266727891726999	-1.1606127123453889	5.316325603923673
9400	-2405.7620575184333	-2369.971945092876	-35.79011242555735	-2369.971945092876	10.149991921142185	54.69271348252128	1.0	0.39085217854966176	-29.08743786457914	0.4036851420588555	0.004266727891726999	-0.30354499278003233	6.19717205701532
