#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.new_core_region" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </prior>
#        <distribution id="cyn-ava.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="cyn-ava" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Cynocephalus_volans" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Avahi_laniger" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.1" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@new_core_region" id="treeLikelihood.new_core_region" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@new_core_region" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.new_core_region	Tree.height	Tree.treeLength	mutationRate	gammaShape	kappa	CalibratedYuleModel	birthRateY	logP(mrca(cyn-ava))	mrca.age(cyn-ava)	clockRate
9000	-313976.26687675505	-313852.77509206656	-123.49178468851377	-313852.77509206656	14.664799340699073	31.028592240611104	1.0	0.2922651245591445	9.024119144598599	-26.35827865233512	1.6062646522733597	-70.93572597193814	0.05399568536595281	4.296966133600937
9200	-313696.13195673056	-313563.2579591866	-132.8739975439287	-313563.2579591866	17.59084475407402	36.87672595780397	1.0	0.2922651245591445	9.024119144598599	-35.75000214360313	1.6062646522733597	-70.92621533608506	0.05439557389493296	4.296966133600937
9400	-313047.86840485473	-312928.0291554847	-119.83924937001349	-312928.0291554847	13.644195684513194	28.483015650714176	1.0	0.2922651245591445	9.024119144598599	-22.342841159254736	1.6062646522733597	-71.29862814651824	0.038756975517878475	6.005776028037905
9600	-312676.23221223464	-312557.8045910535	-118.42762118111347	-312557.8045910535	13.252583067332317	27.697684892153198	1.0	0.2922651245591445	9.024119144598599	-21.056135595965415	1.6062646522733597	-71.17370552090753	0.04399823000937984	6.005776028037905
9800	-312334.27758919896	-312222.54652858677	-111.73106061216686	-312222.54652858677	11.16740990523731	23.502728122438988	1.0	0.2922651245591445	9.024119144598599	-14.32493123555533	1.6062646522733597	-71.20834931237101	0.04254425279858794	6.005776028037905
10000	-312104.7308159699	-311981.8657371019	-122.86507886800828	-311981.8657371019	13.908878660829425	28.986968902428394	1.0	0.2922651245591445	9.024119144598599	-25.796721125152004	1.191330278104067	-71.16953460029974	0.044173304752101225	6.005776028037905
10200	-311882.53999543487	-311767.77128623665	-114.76870919822558	-311767.77128623665	11.926804388377612	25.027708986622685	1.0	0.2922651245591445	9.024119144598599	-17.00029467651991	2.433405753607026	-71.15484226765096	0.04479005764674037	6.005776028037905
10400	-311473.941262861	-311386.2915546941	-87.64970816688619	-311386.2915546941	9.044245647416457	19.327834474237367	1.0	0.32513980429207867	7.596774381576834	-3.10894206507994	2.433405753607026	-71.08553551815396	0.04770026941228256	5.300208178437801
10600	-311117.918357408	-311037.5591312151	-80.35922619295835	-311037.5591312151	7.537393493601482	16.35497429393658	1.0	0.32513980429207867	7.596774381576834	4.5282847296212445	3.5561799111218244	-71.05214187060807	0.04910298702946171	5.300208178437801
10800	-310866.96504746145	-310802.0619099181	-64.9031375433801	-310802.0619099181	5.507994914959919	11.840857779318195	1.0	0.32513980429207867	7.596774381576834	20.39674322540432	3.5561799111218244	-71.46451171681291	0.03180427749859329	8.529260767459109
11000	-310717.4634969054	-310657.79052524205	-59.67297166336215	-310657.79052524205	4.863756827684492	10.549083918773057	1.0	0.32513980429207867	7.596774381576834	26.066510864334973	5.478268577416582	-71.47052130128783	0.03155254908602298	8.529260767459109
11200	-310561.63056893577	-310502.53615772806	-59.09441120773682	-310502.53615772806	4.821736130701774	10.43546478783676	1.0	0.32513980429207867	7.596774381576834	26.671058759886584	5.478268577416582	-71.49650874121411	0.03046411399640845	8.529260767459109
11400	-310384.7905034116	-310327.03972329525	-57.75078011636859	-310327.03972329525	4.69019209519646	10.204806003730734	1.0	0.32513980429207867	7.596774381576834	27.96729547202493	5.478268577416582	-71.44911436198423	0.032449287633179426	8.529260767459109
11600	-310288.31733756454	-310231.1324329421	-57.184904622412354	-310231.1324329421	4.644344829438479	10.090922497127341	1.0	0.32513980429207867	7.596774381576834	28.567527819710556	5.478268577416582	-71.48347121571362	0.031010141444832384	8.529260767459109
11800	-310140.09849441506	-310083.35773477406	-56.74075964097605	-310083.35773477406	4.605278214487956	10.015945395725979	1.0	0.32513980429207867	7.596774381576834	28.991890461956476	5.478268577416582	-71.46368887652324	0.0318387453136584	8.529260767459109
12000	-310029.09787832905	-309971.78902375733	-57.30885457174178	-309971.78902375733	4.6573464304835	10.116834054367825	1.0	0.32513980429207867	7.596774381576834	28.432916372372354	5.478268577416582	-71.47280971770485	0.03145669509468522	8.529260767459109
12200	-309833.65934679756	-309769.62058159854	-64.0387651990442	-309769.62058159854	5.2708571674116955	11.34583754161876	1.0	0.32513980429207867	7.596774381576834	21.701287808614502	5.478268577416582	-71.47109178124941	0.03152865347396195	8.529260767459109
12400	-309726.08998267894	-309671.76167638355	-54.32830629535845	-309671.76167638355	4.378482024539744	9.576122498767512	1.0	0.32513980429207867	7.596774381576834	31.402575673790274	5.478268577416582	-71.46192074273944	0.0319128110384188	8.529260767459109
12600	-309532.896113229	-309486.61524996656	-46.28086326243807	-309486.61524996656	3.725515457640454	8.047387731435593	1.0	0.32513980429207867	7.596774381576834	39.643964798937496	5.478268577416582	-71.65586683496628	0.023794034576722366	11.796306591406974
